"focal","other","trial","assoc"
1,4,1,1
1,11,1,1
1,15,1,1
1,17,1,1
2,6,1,1
2,7,1,1
2,11,1,1
2,12,1,1
3,16,1,1
3,17,1,1
3,31,1,1
3,50,1,1
4,11,1,1
4,36,1,1
4,45,1,1
5,14,1,1
5,29,1,1
5,34,1,1
5,40,1,1
6,21,1,1
6,37,1,1
6,45,1,1
7,15,1,1
7,21,1,1
7,22,1,1
8,9,1,1
8,13,1,1
8,36,1,1
8,42,1,1
9,18,1,1
9,46,1,1
9,47,1,1
10,17,1,1
10,23,1,1
10,46,1,1
10,48,1,1
11,35,1,1
12,23,1,1
12,38,1,1
12,39,1,1
13,30,1,1
13,31,1,1
13,32,1,1
14,18,1,1
14,26,1,1
14,48,1,1
15,37,1,1
15,43,1,1
16,18,1,1
16,47,1,1
16,49,1,1
17,33,1,1
18,33,1,1
19,21,1,1
19,24,1,1
19,36,1,1
19,47,1,1
20,27,1,1
20,30,1,1
20,32,1,1
20,49,1,1
21,28,1,1
22,25,1,1
22,31,1,1
22,35,1,1
23,33,1,1
23,40,1,1
24,29,1,1
24,40,1,1
24,41,1,1
25,36,1,1
25,45,1,1
25,48,1,1
26,39,1,1
26,42,1,1
26,44,1,1
27,28,1,1
27,43,1,1
27,44,1,1
28,47,1,1
28,49,1,1
29,34,1,1
29,40,1,1
30,35,1,1
30,44,1,1
31,38,1,1
32,43,1,1
32,45,1,1
33,34,1,1
34,50,1,1
35,46,1,1
37,39,1,1
37,42,1,1
38,48,1,1
38,49,1,1
39,50,1,1
41,42,1,1
41,43,1,1
41,44,1,1
46,50,1,1
