cafe,afternoon,wait
0,0,4.939955217866509
0,1,2.4411332768009952
0,0,4.459704300112743
0,1,3.0571967847968473
0,0,3.488554984499341
0,1,2.623180722339079
0,0,4.553130212197602
0,1,2.488410435637433
0,0,4.151279563318069
0,1,2.6603265712612627
1,0,0.2543479164625605
1,1,-0.7784377512635154
1,0,0.05220860654067394
1,1,0.031956558539601734
1,0,0.17450433147055608
1,1,-0.4922277933695431
1,0,0.5613109323609072
1,1,-0.023702651051995316
1,0,0.012762737757037526
1,1,-0.19858560504717024
2,0,5.264884780306394
2,1,2.519204321259245
2,0,4.2782733375699245
2,1,3.48647414068552
2,0,4.477057226979457
2,1,2.8782746313195533
2,0,4.439156339579147
2,1,3.074137988071813
2,0,3.753661294285033
2,1,3.2772013571439733
3,0,4.04814544432363
3,1,1.8304077970123447
3,0,3.7998277957893496
3,1,1.575683024848895
3,0,3.6005199903533844
3,1,2.04891503961241
3,0,4.560765924618138
3,1,1.8133441948280211
3,0,3.198641341971245
3,1,1.6777902533111964
4,0,2.9376604646985984
4,1,2.496124467089128
4,0,3.188623958507519
4,1,2.652701111269953
4,0,3.0543531093357332
4,1,1.602012941156267
4,0,3.6416800335861863
4,1,2.366480176079973
4,0,2.3861154481128883
4,1,2.516088152897302
5,0,2.814467351960885
5,1,1.6041298012619705
5,0,3.919421250703733
5,1,1.825727414656732
5,0,3.3150995598221304
5,1,1.0123239750231918
5,0,2.1084037493068966
5,1,2.2171553466760385
5,0,3.411435095800182
5,1,0.5244708609622137
6,0,2.7260370776131286
6,1,2.6066316563863117
6,0,2.8798073806757443
6,1,1.6235783835412738
6,0,2.5447707051189985
6,1,2.191939902900703
6,0,2.8426539224883953
6,1,2.4767984154869667
6,0,2.1214454319767895
6,1,2.3624766823292744
7,0,2.9624994218317005
7,1,1.7569235214734995
7,0,3.6738043015167694
7,1,1.3862652309336385
7,0,2.4713082656872487
7,1,1.2628861916610115
7,0,3.1178662831180044
7,1,1.4420990670231246
7,0,3.5445738128973847
7,1,1.0362533234125322
8,0,4.998728758052868
8,1,3.512668885319978
8,0,5.401494323295905
8,1,4.463039948799035
8,0,4.891105681105462
8,1,4.753306692309596
8,0,6.015943825926488
8,1,3.6110825871896144
8,0,6.135514545496383
8,1,4.064115500628944
9,0,3.8284774208350028
9,1,1.6716290386238075
9,0,3.765776749693832
9,1,2.5258226260738135
9,0,2.5809546911606898
9,1,1.6737731096684305
9,0,4.422116568954238
9,1,2.210827282093499
9,0,2.951409124322552
9,1,1.9035562978998446
10,0,3.932556136292889
10,1,2.6982886808786617
10,0,3.9948648796069004
10,1,3.336930812529948
10,0,3.3997940664061037
10,1,2.671114408618266
10,0,3.5552856079871944
10,1,3.7227818933587256
10,0,4.234439097915745
10,1,2.683496264183664
11,0,3.63976461217244
11,1,2.6724154061794643
11,0,5.134344401029138
11,1,3.0403487744238205
11,0,3.474822888575309
11,1,3.7093022129598947
11,0,4.069721826986522
11,1,2.9794012170432165
11,0,4.519849574265243
11,1,2.3492687921572477
12,0,4.808046062975958
12,1,3.1068274185461204
12,0,5.78458325711798
12,1,3.419739795764153
12,0,6.082571213669282
12,1,3.388140136995903
12,0,5.628551620735609
12,1,4.162838293622581
12,0,5.245474615747204
12,1,4.2574385196800595
13,0,4.248038272286562
13,1,2.5709179194980845
13,0,3.985881453378137
13,1,1.7871255158733161
13,0,2.804060948502352
13,1,2.6637707105523676
13,0,2.9217720714626396
13,1,2.358462751109351
13,0,3.391817034040565
13,1,2.443354141570184
14,0,2.7409943959579404
14,1,1.8239371202628916
14,0,3.3201701342240444
14,1,2.1324113691714524
14,0,3.9880457327873127
14,1,2.915483398694834
14,0,3.195467370282682
14,1,3.1469869383172946
14,0,3.6792492498480267
14,1,2.1238521813305393
15,0,3.9623030307717033
15,1,3.099821594826945
15,0,3.853448291014139
15,1,2.412305868168212
15,0,5.13606144094751
15,1,3.3543103791167823
15,0,2.896243185053151
15,1,2.770794307272371
15,0,5.768005190212403
15,1,2.863529848910156
16,0,4.813235245649544
16,1,3.0123859246579583
16,0,4.819757447874275
16,1,1.9229566600394985
16,0,4.9783565130552105
16,1,3.125929563831848
16,0,3.8564494497753916
16,1,2.9304672269077576
16,0,5.002646637028226
16,1,3.1218252745898347
17,0,5.524052739431218
17,1,3.894198980309362
17,0,4.193564924019183
17,1,2.9734560183411767
17,0,4.725459076518793
17,1,3.4756979005118143
17,0,4.172465308701194
17,1,3.2517102515583014
17,0,4.544602752789223
17,1,3.365051879585547
18,0,5.871332741142327
18,1,3.9853532190612495
18,0,6.430998061911219
18,1,3.7199104826081073
18,0,6.3530092293316995
18,1,3.5312983182300304
18,0,4.868169077643765
18,1,3.0877059969399703
18,0,4.560263240154416
18,1,3.2272557676237934
19,0,3.59748829595914
19,1,2.0406203489510997
19,0,3.2650012712824665
19,1,2.1043448043467756
19,0,5.311988769375148
19,1,3.6047771055644042
19,0,3.116902356242159
19,1,3.341568555422616
19,0,3.7608226618455256
19,1,2.8747346500007014
