,career,income
0,2,5
1,2,5
2,2,5
3,2,5
4,1,2
5,2,5
6,2,5
7,2,5
8,1,2
9,0,1
10,2,5
11,2,5
12,2,5
13,2,5
14,0,1
15,2,5
16,0,1
17,0,1
18,2,5
19,0,1
20,0,1
21,2,5
22,2,5
23,0,1
24,2,5
25,2,5
26,2,5
27,2,5
28,2,5
29,2,5
30,2,5
31,2,5
32,2,5
33,2,5
34,2,5
35,0,1
36,2,5
37,2,5
38,2,5
39,2,5
40,2,5
41,2,5
42,1,2
43,2,5
44,2,5
45,2,5
46,2,5
47,2,5
48,2,5
49,2,5
50,2,5
51,1,2
52,2,5
53,0,1
54,2,5
55,2,5
56,1,2
57,0,1
58,0,1
59,2,5
60,1,2
61,2,5
62,2,5
63,2,5
64,2,5
65,2,5
66,2,5
67,0,1
68,0,1
69,2,5
70,2,5
71,2,5
72,2,5
73,2,5
74,2,5
75,0,1
76,2,5
77,2,5
78,2,5
79,2,5
80,1,2
81,1,2
82,1,2
83,2,5
84,2,5
85,2,5
86,2,5
87,2,5
88,2,5
89,2,5
90,2,5
91,2,5
92,2,5
93,2,5
94,1,2
95,2,5
96,2,5
97,0,1
98,2,5
99,2,5
100,2,5
101,2,5
102,2,5
103,2,5
104,2,5
105,2,5
106,2,5
107,2,5
108,2,5
109,2,5
110,2,5
111,0,1
112,1,2
113,2,5
114,1,2
115,2,5
116,2,5
117,1,2
118,2,5
119,2,5
120,2,5
121,2,5
122,2,5
123,2,5
124,2,5
125,2,5
126,2,5
127,1,2
128,2,5
129,1,2
130,1,2
131,2,5
132,2,5
133,2,5
134,2,5
135,1,2
136,2,5
137,1,2
138,1,2
139,2,5
140,2,5
141,2,5
142,2,5
143,1,2
144,2,5
145,1,2
146,2,5
147,0,1
148,2,5
149,2,5
150,2,5
151,2,5
152,2,5
153,2,5
154,2,5
155,2,5
156,2,5
157,2,5
158,2,5
159,2,5
160,2,5
161,2,5
162,2,5
163,1,2
164,2,5
165,2,5
166,2,5
167,0,1
168,2,5
169,1,2
170,2,5
171,2,5
172,2,5
173,1,2
174,2,5
175,2,5
176,2,5
177,2,5
178,2,5
179,2,5
180,0,1
181,1,2
182,2,5
183,1,2
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,2,5
190,2,5
191,2,5
192,2,5
193,2,5
194,2,5
195,1,2
196,2,5
197,2,5
198,2,5
199,2,5
200,2,5
201,2,5
202,1,2
203,2,5
204,2,5
205,1,2
206,2,5
207,2,5
208,2,5
209,2,5
210,1,2
211,2,5
212,1,2
213,2,5
214,2,5
215,2,5
216,2,5
217,2,5
218,2,5
219,1,2
220,2,5
221,1,2
222,2,5
223,2,5
224,0,1
225,0,1
226,2,5
227,1,2
228,2,5
229,0,1
230,1,2
231,1,2
232,2,5
233,2,5
234,2,5
235,1,2
236,2,5
237,2,5
238,2,5
239,2,5
240,1,2
241,2,5
242,2,5
243,2,5
244,2,5
245,2,5
246,1,2
247,1,2
248,2,5
249,2,5
250,2,5
251,2,5
252,2,5
253,2,5
254,2,5
255,2,5
256,0,1
257,2,5
258,1,2
259,0,1
260,1,2
261,2,5
262,2,5
263,2,5
264,2,5
265,1,2
266,2,5
267,2,5
268,2,5
269,2,5
270,2,5
271,0,1
272,2,5
273,2,5
274,1,2
275,2,5
276,2,5
277,2,5
278,2,5
279,0,1
280,1,2
281,2,5
282,1,2
283,2,5
284,1,2
285,2,5
286,2,5
287,2,5
288,2,5
289,2,5
290,2,5
291,0,1
292,2,5
293,1,2
294,0,1
295,2,5
296,2,5
297,2,5
298,2,5
299,1,2
300,2,5
301,2,5
302,0,1
303,2,5
304,1,2
305,2,5
306,2,5
307,2,5
308,1,2
309,2,5
310,2,5
311,2,5
312,2,5
313,2,5
314,1,2
315,2,5
316,2,5
317,0,1
318,2,5
319,2,5
320,1,2
321,1,2
322,2,5
323,1,2
324,2,5
325,2,5
326,2,5
327,2,5
328,1,2
329,2,5
330,2,5
331,2,5
332,2,5
333,2,5
334,2,5
335,0,1
336,0,1
337,2,5
338,1,2
339,0,1
340,2,5
341,1,2
342,2,5
343,2,5
344,2,5
345,2,5
346,2,5
347,1,2
348,2,5
349,2,5
350,2,5
351,0,1
352,2,5
353,2,5
354,2,5
355,2,5
356,1,2
357,2,5
358,2,5
359,2,5
360,1,2
361,2,5
362,2,5
363,2,5
364,2,5
365,2,5
366,1,2
367,2,5
368,1,2
369,2,5
370,2,5
371,2,5
372,2,5
373,2,5
374,2,5
375,1,2
376,2,5
377,2,5
378,2,5
379,2,5
380,2,5
381,2,5
382,2,5
383,2,5
384,0,1
385,1,2
386,0,1
387,2,5
388,2,5
389,2,5
390,2,5
391,1,2
392,2,5
393,2,5
394,2,5
395,0,1
396,2,5
397,2,5
398,0,1
399,2,5
400,2,5
401,2,5
402,2,5
403,2,5
404,2,5
405,2,5
406,2,5
407,2,5
408,2,5
409,2,5
410,2,5
411,1,2
412,2,5
413,2,5
414,2,5
415,2,5
416,1,2
417,2,5
418,2,5
419,2,5
420,2,5
421,2,5
422,2,5
423,2,5
424,1,2
425,2,5
426,2,5
427,0,1
428,2,5
429,2,5
430,2,5
431,2,5
432,2,5
433,2,5
434,1,2
435,2,5
436,1,2
437,2,5
438,2,5
439,2,5
440,1,2
441,2,5
442,2,5
443,0,1
444,2,5
445,2,5
446,0,1
447,2,5
448,2,5
449,0,1
450,0,1
451,1,2
452,2,5
453,2,5
454,2,5
455,2,5
456,2,5
457,2,5
458,2,5
459,1,2
460,1,2
461,2,5
462,2,5
463,2,5
464,1,2
465,2,5
466,2,5
467,2,5
468,1,2
469,1,2
470,2,5
471,0,1
472,2,5
473,2,5
474,2,5
475,2,5
476,2,5
477,2,5
478,2,5
479,2,5
480,1,2
481,2,5
482,1,2
483,2,5
484,1,2
485,2,5
486,2,5
487,2,5
488,2,5
489,2,5
490,2,5
491,0,1
492,2,5
493,2,5
494,1,2
495,2,5
496,1,2
497,2,5
498,2,5
499,2,5
