,career,income
0,0,1
1,2,5
2,2,5
3,1,2
4,2,5
5,2,5
6,2,5
7,2,5
8,2,5
9,2,5
10,2,5
11,2,5
12,2,5
13,0,1
14,2,5
15,2,5
16,2,5
17,2,5
18,1,2
19,2,5
20,2,5
21,2,5
22,1,2
23,2,5
24,2,5
25,2,5
26,2,5
27,1,2
28,2,5
29,2,5
30,2,5
31,2,5
32,2,5
33,2,5
34,2,5
35,1,2
36,1,2
37,2,5
38,2,5
39,2,5
40,2,5
41,0,1
42,0,1
43,2,5
44,1,2
45,1,2
46,1,2
47,0,1
48,2,5
49,2,5
50,1,2
51,2,5
52,2,5
53,0,1
54,2,5
55,2,5
56,2,5
57,2,5
58,2,5
59,2,5
60,2,5
61,2,5
62,0,1
63,2,5
64,2,5
65,0,1
66,2,5
67,2,5
68,2,5
69,2,5
70,2,5
71,2,5
72,1,2
73,2,5
74,2,5
75,2,5
76,2,5
77,2,5
78,2,5
79,2,5
80,2,5
81,2,5
82,2,5
83,2,5
84,2,5
85,1,2
86,2,5
87,1,2
88,2,5
89,2,5
90,0,1
91,1,2
92,2,5
93,2,5
94,0,1
95,2,5
96,2,5
97,1,2
98,2,5
99,2,5
100,2,5
101,2,5
102,1,2
103,1,2
104,2,5
105,2,5
106,1,2
107,2,5
108,2,5
109,1,2
110,2,5
111,2,5
112,2,5
113,2,5
114,2,5
115,2,5
116,2,5
117,2,5
118,1,2
119,2,5
120,1,2
121,2,5
122,2,5
123,1,2
124,2,5
125,2,5
126,2,5
127,2,5
128,2,5
129,2,5
130,2,5
131,2,5
132,1,2
133,2,5
134,2,5
135,2,5
136,2,5
137,2,5
138,1,2
139,2,5
140,2,5
141,0,1
142,2,5
143,2,5
144,2,5
145,2,5
146,2,5
147,2,5
148,2,5
149,2,5
150,2,5
151,2,5
152,2,5
153,2,5
154,2,5
155,2,5
156,0,1
157,2,5
158,2,5
159,0,1
160,2,5
161,1,2
162,2,5
163,2,5
164,2,5
165,2,5
166,2,5
167,2,5
168,2,5
169,2,5
170,2,5
171,2,5
172,2,5
173,2,5
174,0,1
175,1,2
176,0,1
177,2,5
178,2,5
179,1,2
180,2,5
181,2,5
182,2,5
183,2,5
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,2,5
190,2,5
191,1,2
192,2,5
193,2,5
194,2,5
195,2,5
196,1,2
197,2,5
198,1,2
199,1,2
200,2,5
201,2,5
202,2,5
203,0,1
204,1,2
205,1,2
206,2,5
207,2,5
208,2,5
209,0,1
210,2,5
211,2,5
212,2,5
213,2,5
214,2,5
215,1,2
216,2,5
217,2,5
218,2,5
219,2,5
220,2,5
221,2,5
222,2,5
223,2,5
224,2,5
225,1,2
226,2,5
227,2,5
228,2,5
229,2,5
230,2,5
231,2,5
232,1,2
233,2,5
234,2,5
235,2,5
236,2,5
237,2,5
238,1,2
239,2,5
240,2,5
241,2,5
242,2,5
243,0,1
244,2,5
245,2,5
246,2,5
247,2,5
248,2,5
249,2,5
250,0,1
251,2,5
252,2,5
253,2,5
254,2,5
255,1,2
256,2,5
257,2,5
258,0,1
259,0,1
260,1,2
261,2,5
262,1,2
263,2,5
264,2,5
265,2,5
266,2,5
267,2,5
268,2,5
269,1,2
270,1,2
271,2,5
272,2,5
273,2,5
274,2,5
275,2,5
276,1,2
277,1,2
278,1,2
279,2,5
280,0,1
281,2,5
282,2,5
283,2,5
284,2,5
285,2,5
286,2,5
287,2,5
288,2,5
289,2,5
290,1,2
291,2,5
292,1,2
293,2,5
294,2,5
295,2,5
296,2,5
297,1,2
298,2,5
299,2,5
300,1,2
301,2,5
302,1,2
303,1,2
304,2,5
305,1,2
306,1,2
307,2,5
308,2,5
309,0,1
310,2,5
311,1,2
312,2,5
313,2,5
314,2,5
315,2,5
316,2,5
317,2,5
318,2,5
319,2,5
320,2,5
321,2,5
322,2,5
323,2,5
324,2,5
325,2,5
326,2,5
327,2,5
328,2,5
